Point,Latitude (deg),Longitude (deg),Bearing (deg),Speed (m/s),Time
2,50.43157,-3.556401,258,0.5,2015-06-17T17:08:51.203Z
3,50.431569,-3.556419,258,0.75,2015-06-17T17:08:52.214Z
4,50.43165,-3.55637,25,1.75,2015-06-17T17:10:40.206Z
5,50.431669,-3.556363,21,1.75,2015-06-17T17:10:41.197Z
6,50.431758,-3.55638,359,0.5,2015-06-17T17:10:55.218Z
7,50.431767,-3.556387,359,0.5,2015-06-17T17:10:56.196Z
8,50.431839,-3.556359,22,1,2015-06-17T17:11:04.197Z
9,50.431861,-3.55634,26,1.5,2015-06-17T17:11:05.205Z
10,50.431939,-3.556318,49,1.118,2015-06-17T17:11:15.196Z
11,50.431953,-3.556306,46,1.118,2015-06-17T17:11:16.197Z
12,50.432025,-3.556237,,,2015-06-17T17:11:36.203Z
13,50.432032,-3.55623,,,2015-06-17T17:11:37.214Z
14,50.432115,-3.556208,5,1.25,2015-06-17T17:11:47.205Z
15,50.432142,-3.55619,16,1.25,2015-06-17T17:11:48.204Z
16,50.432228,-3.55621,8,1.25,2015-06-17T17:11:53.207Z
17,50.432243,-3.55621,3,1.25,2015-06-17T17:11:54.207Z
18,50.432312,-3.556166,10,1.5,2015-06-17T17:11:57.205Z
19,50.432335,-3.556157,12,1.5,2015-06-17T17:11:58.196Z
20,50.432412,-3.556116,12,2,2015-06-17T17:12:02.197Z
21,50.432424,-3.556113,10,2,2015-06-17T17:12:03.196Z
22,50.432494,-3.556092,17,1.75,2015-06-17T17:12:07.197Z
23,50.432517,-3.556081,16,1.75,2015-06-17T17:12:08.197Z
24,50.432581,-3.556054,19,1.25,2015-06-17T17:12:17.197Z
25,50.432604,-3.556045,21,1.5,2015-06-17T17:12:18.197Z
26,50.432683,-3.555989,20,1.75,2015-06-17T17:12:23.213Z
27,50.432712,-3.555967,23,2,2015-06-17T17:12:24.214Z
28,50.432789,-3.555902,23,2.5,2015-06-17T17:12:27.197Z
29,50.432815,-3.55588,23,2.5,2015-06-17T17:12:28.220Z
30,50.432871,-3.555848,24,2.75,2015-06-17T17:12:30.236Z
31,50.432909,-3.555816,24,3,2015-06-17T17:12:31.205Z
32,50.432981,-3.55576,24,3.25,2015-06-17T17:12:34.215Z
33,50.433005,-3.555749,26,3,2015-06-17T17:12:35.222Z
34,50.433082,-3.555726,22,2.75,2015-06-17T17:12:38.213Z
35,50.433102,-3.555713,23,2.75,2015-06-17T17:12:39.214Z
36,50.433171,-3.555651,26,3,2015-06-17T17:12:42.192Z
37,50.4332,-3.555647,22,3.0414,2015-06-17T17:12:43.251Z
38,50.433275,-3.555583,28,3,2015-06-17T17:12:46.196Z
39,50.433304,-3.555559,30,3.25,2015-06-17T17:12:47.214Z
40,50.433373,-3.555481,30,3.25,2015-06-17T17:12:50.224Z
41,50.433395,-3.555454,32,3.25,2015-06-17T17:12:51.212Z
42,50.433465,-3.555388,35,3.25,2015-06-17T17:12:54.211Z
43,50.433484,-3.555366,37,3,2015-06-17T17:12:55.223Z
44,50.433533,-3.555282,39,2.75,2015-06-17T17:12:58.217Z
45,50.433543,-3.555257,38,3,2015-06-17T17:12:59.242Z
46,50.433599,-3.55517,39,3,2015-06-17T17:13:02.205Z
47,50.433621,-3.555146,41,2.75,2015-06-17T17:13:03.212Z
48,50.433682,-3.555074,38,2.75,2015-06-17T17:13:06.232Z
49,50.433699,-3.555051,37,2.7951,2015-06-17T17:13:07.215Z
50,50.433763,-3.554972,41,3,2015-06-17T17:13:10.211Z
51,50.433782,-3.554938,42,3.0414,2015-06-17T17:13:11.225Z
52,50.433848,-3.554848,42,2.5,2015-06-17T17:13:15.223Z
53,50.433868,-3.554825,41,2.5,2015-06-17T17:13:16.217Z
54,50.433934,-3.554735,39,2.3049,2015-06-17T17:13:20.206Z
55,50.433943,-3.554714,43,2.25,2015-06-17T17:13:21.213Z
56,50.434004,-3.554627,40,1.75,2015-06-17T17:13:27.205Z
57,50.434019,-3.554611,37,1.75,2015-06-17T17:13:28.190Z
58,50.434072,-3.554542,37,2.5,2015-06-17T17:13:31.213Z
59,50.434086,-3.554518,37,2.5,2015-06-17T17:13:32.205Z
60,50.434151,-3.554456,38,2.5,2015-06-17T17:13:36.206Z
61,50.434165,-3.554423,40,2.75,2015-06-17T17:13:37.214Z
62,50.43423,-3.554337,38,3,2015-06-17T17:13:40.213Z
63,50.434252,-3.554316,37,3,2015-06-17T17:13:41.205Z
64,50.4343,-3.554258,37,3.25,2015-06-17T17:13:43.213Z
65,50.434325,-3.554232,36,3.25,2015-06-17T17:13:44.213Z
66,50.43439,-3.554182,32,3.5,2015-06-17T17:13:46.228Z
67,50.43442,-3.55415,33,3.5,2015-06-17T17:13:47.214Z
68,50.434485,-3.554068,37,4,2015-06-17T17:13:49.221Z
69,50.434516,-3.55403,39,4.25,2015-06-17T17:13:50.213Z
70,50.434563,-3.553945,43,4.25,2015-06-17T17:13:52.206Z
71,50.434586,-3.553891,46,4.25,2015-06-17T17:13:53.197Z
72,50.434615,-3.553836,46,4.5,2015-06-17T17:13:54.214Z
73,50.43466,-3.55378,43,4.75,2015-06-17T17:13:55.214Z
74,50.434694,-3.55369,50,4.25,2015-06-17T17:13:57.214Z
75,50.434714,-3.553642,53,4.25,2015-06-17T17:13:58.206Z
76,50.434742,-3.553509,62,3.5,2015-06-17T17:14:01.207Z
77,50.434752,-3.553469,63,3.5,2015-06-17T17:14:02.223Z
78,50.434783,-3.553375,64,3.5,2015-06-17T17:14:04.206Z
79,50.434802,-3.55334,63,3.5,2015-06-17T17:14:05.206Z
80,50.434823,-3.553245,66,3.5,2015-06-17T17:14:07.214Z
81,50.434835,-3.553195,66,3.5,2015-06-17T17:14:08.221Z
82,50.434857,-3.553098,67,3.5,2015-06-17T17:14:10.213Z
83,50.43488,-3.553048,64,3.5,2015-06-17T17:14:11.213Z
84,50.434905,-3.552959,64,3.5,2015-06-17T17:14:13.197Z
85,50.434923,-3.552919,64,3.5,2015-06-17T17:14:14.197Z
86,50.43496,-3.552803,63,3.25,2015-06-17T17:14:17.234Z
87,50.434963,-3.552759,66,3.25,2015-06-17T17:14:18.214Z
